slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact

coffee-and-poets,15,Lawrence Dinkins,Microgrant ($5k),Individual/Sole Proprietor,,Coffee and Poets,"Performing Arts/Music, Underserved Communities","$4,300.00 ","$4,300.00 ","Coffee and Poets is a series of 12 events at Broadway Coffee in Oak Park. We'll interview poets for live audiences, then share videos online","Coffee and Poets is an expansion and relocation of a successful 5-year-old artistic project which features local writers interviewing other writers. Curator and local spoken word artist Lawrence Dinkins, Jr., known by his pen name NSAA, has hosted this live show at Naked Lounge on H Street since 2012, but he plans to move the event to Broadway Coffee in Oak Park. This live monthly show at will enliven that locally owned coffee house.  Dinkins also plans to produce professional videos of the interviews and share them online. With more online content, the series will find a wider audience and bring more attendees to the events.

All the funds requested are for video equipment - Dinkins needs $3000 for a video camera and $1700 for a laptop that will serve as a video mixer. He will use these to create top quality videos of local writers speaking in the Coffee and Poets series.

Dinkins has worked on many community projects before - he is a regular monthly poetry host for three different poetry meetups in Sacramento: Joe Montoya's Poetry Unplugged at Luna's Cafe, Mahogany Urban Poets at Queen Sheba's Ethiopian Restaurant, and the Third Thursday poetry series organized by the Sacramento Poetry Center for the Central Library. Dinkins also does volunteer work for the Brickhouse Gallery in Oak Park, and he has worked with Sacramento Area Youth Slam (SAYS), and many other local organizations.

Since 2012, Dinkins curated the Coffee and Poets series at Naked Lounge until that venue recently announced it was closing. In that 5-year span, Coffee and Poets featured spoken word artists such as Straight Out Scribes, Sean King, and ""Trouble,"" plus local poets laureate, including Bob Stanley, Indigo Moor, Allegra Silberstein, and Andy Jones. The series brings poets of all styles and ethnicities to the interviews, and has been an important part of the local literary scene since its inception.

Adding a video component to the program (instead of audio) will greatly expand the reach of the series, and should help make people aware of the diversity of poets and writers here in Sacramento. The owner of Broadway Coffee is one of the founders of the Sacramento Black Book Fair, and he is a leader in the Oak Park community. Lawrence Dinkins is excited to bring this program to Oak Park and to help make Broadway Coffee a literary hub.",9/20/17,,"Mr Dinkins is in touch with his audiences, and for Coffee and Poets there would be three measures of success. Are audiences growing at the live events? Is the online audience growing and sharing with others? And is the management of Broadway Coffee happy with the turnout at the events? A secondary success would be if Oak Park residents start to come out in numbers. Mr. Dinkins, who is African-American, will also be networking with his colleagues at the Brickhouse Gallery, which is nearby. So these events could also provide cross-promotion for Brickhouse and other Oak Park establishments.","Assisting Broadway Coffee to bring in customers is the primary goal on the economic side. But if we make Oak Park a literary hub, then Underground Books, Brickhouse Gallery, and Old Soul Coffee down the street could start to have more readings and events. The spread of the online videos should help as well.","Social impact has been a focus of Lawrence Dinkins' work for many years. His events welcome youth and underserved communities. At his annual ""Poet vs. Band"" event, there is always an engaged and diverse audience young, old, black, brown, and white. He makes readers, speakers, and audiences feel welcome, and so his programs, including Coffee and Poets, are well-attended. Bringing this program to Oak Park addresses cultural equity by bringing poetry to a part of town that hasn't had a regular poetry series for a number of years.  "

haiku-for-everyone,20,Lisa Ann Markuson,Microgrant ($5k),Business,The Haiku Guys and Gals,Haiku for Everyone,"Public Art/Installations, Performing Arts/Music, Pop-ups, Temporary Activations, Cultural Equity, Underserved Communities, Youth/Education","$5,000.00 ","$5,000.00 ","We will bring short, inspiring custom poetry to community centers & overlooked areas throughout Sacramento. We'll write haiku for everyone.","We make poetry accessible and egalitarian, while making every single haiku recipient feel like a VIP. Everyone is inspired and enchanted by vintage typewriters and dapper poets, talking to them about what is meaningful to them, then whipping up a 17-syllable poetic gift right before their eyes.

This is performance art, a free pop-up store, public art, and can even be an educational experience because we often teach workshops showing students how to write their own haiku, learning about the history of the typewriter and the poetic form in the process. It applies to cultural equity because we ourselves are a multicultural company and people of all races and cultures worldwide love haiku. And, we are experienced and eager to bring haiku to underserved communities. Literally nobody regrets getting a free haiku - it is a gift that can brighten any day and even change a life.

We are a highly experienced company of poets. Our minimalist setup is environmentally sensitive and very mobile, so we can travel through the whole city. We'd be interested in teaming up with a local artisan or carpenter to build a small mobile stage with us, and we'd like to work with the city to pinpoint the best public spaces in which to appear. The beauty of our work is that we can bring life to an abandoned building, the steps of the Capitol, a strip mall parking lot, a city park, or a First Friday art walk.

This undertaking is particularly exciting to me, Lisa Ann Markuson, one of the co-founders and co-owners of our company, because I lived the first 18 years of my life in Sacramento. Coming back to Sactown has been a dream of mine for years and this is the perfect way to do it: giving back to the city that made me.

I selected the microgrant because 5k can definitely fund a beautiful haiku pop-up. But, if you are open to discussing larger scale projects with more economic impact and multimedia components, I would love to give you more ideas about how we could put 25k to use in Sacramento.",9/15/17,,"Success for us is inspiration and joy for haiku recipients, and bringing poetry to a life that might not have had it otherwise. For the sake of this grant, it would make sense to have a goal to write and document at least 1,000 poems for 1,000 different people.","Often when we are brought to perform for corporate entities, they hire us because we draw crowds and help improve the connection between the host of a venue or event and the attendee. Any venue that hosts us benefits from the good energy and crowds we attract, and we can bring attention to areas that can use a boost.","We are 100% egalitarian, but maybe that is radical in its own way because, unfortunately, underserved populations are less likely to enjoy these type of culturally enriching activities. For a person to receive the same special care and attention from our artists, no matter their age, race, gender, orientation, or status: that is a huge social impact."

daydream-festival,39,Katherine christene palacios,Microgrant ($5k),"Individual/Sole Proprietor, Other (creative collaborative)",Peach house presents,Daydream festival,"Public Art/Installations, Performing Arts/Music, Farm-to-Fork, Temporary Activations, Multipurpose Spaces, Cultural Equity, Underserved Communities","$5,000.00 ","$5,150.00 ",Peach house presents is a creative collaborative focusing on all inclusive and accessible art and music community to host ongoing events. ,"Peach house presents is currently putting together a music and arts festival called Daydream festival. We are hoping to expand this project into an annual festival that will focus on using public spaces- specifically non profits to host music and art shows as well as a two day music festival.
We believe that by collaborating with non profits who are already doing charitable work we are creating ""neutral grounds"" where underserved communities have enough history of the location to feel included  to participate in arts and music held at the same site.
 We also focus on creating events that have the ability to allow absolutely anyone to attend by offering a diverse staff that understands the implications that come with being a minority. We do everything in our power to create affordable events that are also all accessible to anyone with any kind of disability.
We will also give each non profit that we work with an opportunity to reach a larger demographic of a music and arts community that would not have been aware of the services offered without Peach House Presents.
By creating this kind of festival and collaborative we will be able to include small businesses, singular artists, musicians, non profits, farm to fork food vendors and other local businesses. Not only will we be employing numerous local businesses and bringing in their already existing customers but with a well funded festival we will be able to hire more renowned musicians and create a nationally recognized 2 day festival.
With such a festival it will be inevitable for festival goers to avoid spending time and money on their overnight stay here on things such as hotel stays, local dining, and other amenities that Sacramento has to offer.
Currently Daydream festival has been a DIY festival being hosted at Latino Center of Art and Culture and has been incredibly successful in our approach of creating a community of supportive artists.
We believe that creating a supportive community that thrives on all inclusiveness will empower upcoming and younger artists to further expand Sacramento's music and art scene.
Daydream Festival has gained incredible support from the existing community here and we wish to get enough funding to create a state and even nationwide community of supportive creatives. The current proposal will be adjusted to a micro grant and will focus on promoting local artists rather than national artists.

",9/16/17,9/1/18,"Our goals for Daydream Festival and Peach house presents are to create art and music that is accessible to absolutely anyone regardless of race,gender,orientation, or any other factor as well as giving back to our community by creating an entire festival that hires and supports local businesses.
Due to our goals, I will know that Daydream festival is successful when we see our underserved and invalidated communities interested in attending art/music events and supporting local businesses.","Daydream Festival's economic impact will be vast. By employing local artists, musicians, and local business vendors we will be able to offer job opportunities for a creative and business community that needs more financial support. Not only will we have a direct effect on employment of artists and businesses but we will be able to bring county wide festival goers through this event with the hopes to expand to a state and nationwide festival eventually.
","Daydream festival's social impact will to be create supporters of art,music, and local business from underserved communities that have felt underrepresented and invalidated in the art scene due to race, economic status, gender, orientation or any other factor.
By making an all accessible and affordable festival and art community we will be able to not only reach those underserved communities but also connect musicians,artists, and businesses with local charitable organization. Through this connection we believe that we will create an entire movement in Sacramento of organization, businesses, and artists willing and happy to work together.
"

art-advice-booth,42,Gioia Fonda,Microgrant ($5k),"Individual/Sole Proprietor, Other (I am representing a small group of artist ( about 10-15 people). We take turns running the Art Advice booth and creating handouts. )",Art Advice,Art Advice Booth,"Public Art/Installations, Pop-ups, Temporary Activations, Cultural Equity, Youth/Education, Marketing/Communications, Underserved Communities","$5,000.00 ",$500.00 ,"Art Advice is a pop-up community resource for artists or anyone with an art question. We are friendly, approachable, wise and earnest.
","In the Spring 2016 a panel was held by California Groundbreakers at Beatnik Studios. This was a well-attended event that shed a spotlight on the needs, concerns, aspirations and grievances of the Sacramento art scene. The community expressed a lot of frustration about how to best to support artists/art spaces, how to fund art, how to allocate funds fairly, how to foster an equitable art community and what creates a healthy art scene.

After this meeting several art community leaders met to further discuss the topics that came up. As artists and educators, we kept seeing the solutions circling back around to dispersing information and breaking down perceived barriers. Apparently, even in Sacramento, the art world can be intimidating and confusing. There are, of course, plenty of books and websites for artists about professional, technical and inspirational matters, but advice found in books or online isn't always specific enough to be of any use, or can sometimes be too advanced for the person making the inquiry or possibly is just inappropriate given where a person is in their growth as an artist. There is also so much out there, it can be overwhelming.

Our answer to all of this was to create the Art Advice booth fashioned after Lucy's Psychiatric Advice booth in the Peanut's comic strip. We copied it right down to the 5 cent donation can. It is immediately recognizable, makes people smile and gets them curious enough to approach.

Our aim is to create a forum for members of the public to ask any art related question without feeling ignorant or intimidated. We want to demystify the art world and prepare burgeoning artists to go after their dreams with a sense of purpose and plan of action. We encourage greater public art engagement and collecting. Combined, we have decades of higher education and professional experience between us, so we feel we are qualified to answer questions on a wide variety of topics, which is good since the questions we field range from the esoteric ""How do I know if I'm an artist?"" to the specific ""How can I get paint to stick to metal?"". For frequently asked questions, we've created an accordion folder full of take-away informational handouts.

So far this has just been a volunteer labor of love, funded on our own (about $500 so far), but with a grant we could have much greater impact.  ",10/1/17,10/1/18,"We know our project is successful because of the meaningful connections we make with artists at our table. Sometimes participants follow-up through email or social media with further questions or reports of success. Our impact is difficult to track but our hope is that we can assuage some of the confusion and generate interest in art, help empower artists to conduct themselves in a more professional manner and generally inform, inspire and offer encouragement from one artistic soul to another. Our shared experiences and the type of mentorship we offer is valuable. Human connection is what makes this really work.","The Art Advice is more about economic empowerment than impact. For instance we regularly advise artists on pricing their artwork, understanding gallery commissions, brainstorming various platforms for selling their work, funding their educations and helping them budget their time, materials and limited resources. We are steadfast in our belief that there is no one ""right way"" to pursue art and encourage both academic and non-academic pathways to being an artist. Having seasoned artists walk less-experienced artists through some of these realities can prevent being taken advantage of or feeling discouraged or intimidated down the line.
","As artists who have pursued formal art educations, we recognize both our privilege and the systemic barriers that still exist, thusly delaying our art community from being a true representation of the diversity of our region. This project is all about radical inclusivity. We advise whomever sits down at our booth, from a curious child, to the awkward amateur, to the professional dealing with a creative block. Everybody is welcome at the Art Advice booth. We even advise non-artists in matters of how to support (whether collecting or just understanding) the art and/or artists in their communities. "

banned,62,Rose Mendonca,Microgrant ($5k),Business,Pieces People Productions,Banned,"Temporary Activations, Other (Short Narrative Film)","$5,000.00 ","$30,000.00 ","""Banned"" is a short narrative senior thesis film about the effect of the travel ban on one Muslim family. Written/directed by Jasmine Ali.","""Banned"" is a narrative short film about the United States travel
ban and the events that followed its signing earlier this year. We appreciate the opportunity for the creative economy grant, as we currently have no other source of funding.

""Banned"" is written/directed by American-born Egyptian Muslim Jasmine Ali as her senior thesis film for The Art Institute of CA: Sacramento.

The film follows the story of Amal Abadi and her race against time to prevent Customs & Border Protection from sending her and her four-year-old son back to Syria before they can be reunited with her husband on the other side of the gate. With the help of a lawyer working pro-bono, a rebellious immigration
officer, and the protesters demanding their freedom, Amal will fight to get her family to safety in the United States. It is a film meant to unite people over the common understanding of family, and what we will risk to protect them.

The project is a twenty-page script, and will be shot over 8 days this August of 2017. We are a crew of about 20 people, with 7 department heads including myself. Two of those days are to be shot at Stockton Metro Airport, featuring scenes at a baggage claim location in which Amals husband, Essam, asks for help from two desk attendants, and then eventually a lawyer, in getting his wife and child back to him. In addition, there are four scenes that include several protesters to mimic the airport protests that took place
in late January.

We are re-purposing an existing space in Midtown, Sacramento (located at 3226 Broadway), to look like a war-torn Syrian hospital. This location will also serve as a temporary production office. We also will shoot 3 additional days in a Sacramento space for scenes taking place at airport customs.

""Banned"" is both personally and professionally important to each of us, and we are treating this as much more than a student project. In terms of distribution, Banned will be submitted through the film festival
circuit circa 2018, and will be premiering at a theater in Northern California as of December 2017.

We are requesting the micro-grant to cover post-production and distribution costs (including film festival submission cost and travel to festival if accepted) which will be incurred after September 15, 2017 - thereby falling within the guidelines.

We are still seeking production funds through other sources.",9/15/17,12/31/17,"If we have educated and inspired more people to stand up against the travel ban and not assume all Muslims are terrorists, we are successful.","There are many Muslim business owners, families, organizations and other contributors to the community. Recognizing this will have a positive economic impact. ","Social impact is the greatest potential for ""Banned."" The film is meant to bring cultural awareness and understanding. It tells a dramatic narrative while also not ignoring the actual and very real economic impact of the travel ban."

noche-de-muertos,63,Calidanza Dance Company ,Microgrant ($5k),Nonprofit,Calidanza Dance Company ,Noche de Muertos ,"Cultural Equity, Underserved Communities, Performing Arts/Music","$5,000.00 ","$7,500.00 ",Noche de Muertos will partner Calidanza with the Crocker to create an outdoor production at the museum's courtyard with community workshops.,"
This project, (Noche de Muertos) will partner Calidanza Dance Company with the Crocker Art Museum to create an outdoor production of Noche de Muertos at the beautiful Crocker Art Museum courtyard as well as present Day of the Dead themed workshops throughout the week. This production, performance and workshops will highlight the customs and traditions of Day of the Dead in Mexico. Calidanza will create a breathtaking production at the Crocker Art Museum under the stars. The show will encompass traditions of Day of the Dead as reproduced by Calidanza choreographers; the workshops will include mask making/painting, dance workshop for the community and alter building. The purpose of the project is to educate our community to the traditions of Day of the Dead, evoke community participation and deliver high quality productions serving the low income, underserved Latino community at a nontraditional venue.

This request for support encompasses the celebration of Mexicos Day of the Dead here in Sacramento. In conjunction with the Crocker Art Museum, Calidanza will host a series of workshops at the Maple Center in south sacramento that will culminate to a high energy performance (Noche de Muertos) in the Crockers beautiful courtyard on Thursday, October 19th 2017. The project will create a mask making workshop indicative of sacred masks used in the Mexican state of Michoac??n to celebrate/commemorate the Day of the Dead (Calacas). The second day will teach how to build alters and explain their meaning. The third day, dancers and choreographers will hold a community dance workshop teaching a traditional dance (la viejada) that is celebrated in Mexico for Day of the Dead. The project will end with a breathtaking performance by the Calidanza Dance Company entitled Noche de Muertos. Calidanza will present its 2013 commissioned piece for Day of the Dead (S.F Symphony), a traditional deer dance from the state of Sonora as well as other dance pieces that celebrate Day of the Dead. The show will begin with the traditional Viejada, performed by the professional company. Recent data has confirmed that Sacramento has a 27% Latino population and receives less than 2% of funding for arts related programming. Our audience and community lack viable programs that engage youth and adults. Data collected at our last productions indicates that our community wants more culturally appropriate programs that educate and entertain; this is why this program is so important.
",10/16/17,10/19/17,"The project is fostering new and innovative opportunities for arts exposures by offering the low income, underserved Latino community with various programs that address the lack of arts exposure in our communities; as well as offering a professional production in conjunction with a large, traditional arts partner in Sacramento. The project addresses the goal of creating new partnerships, expanding existing partnerships and bringing art to the underserved community. The project will brings much needed art to the underserved community by having our audience attend a different venue not traditionally Latino, we will succeed in united our communities.  ","Our goal is to bring the Latino community to new venues and expose our community to new arts exposure. The Crocker will benefit by inviting new audience members into their venue fostering continued growth that includes the Latino community. Other community groups can partner with other organizations to foster new, innovative performances and productions. This kind of idea has endless economic impact for our community groups. Many organizations can benefit and our communities can grow with collaborations such as this.  ","The idea is to combine strategies with the Crocker to bring in the underserved community and expose the Crockers patrons to new ideas and art. The project encompasses collaborations, with the strength of various organizations involved in the making of this project, it is our goal to bring new, innovative opportunities to our underserved community and expose them to the arts via collaborative efforts. In addition, the week-long workshops held at the Crocker Art Museum/Maple Center in Sacramento, we will expose the underserved community to traditional arts addressing new and innovative opportunities in arts exposures to the underserved community. "

barrio-art,65,Amar Cid,Microgrant ($5k),Nonprofit,Washington Neighborhood Center,BARRIO ART,"Pop-ups, Public Art/Installations, Multipurpose Spaces, Cultural Equity, Underserved Communities, Marketing/Communications, Youth/Education, Performing Arts/Music","$5,000.00 ","$5,000.00 ",To provide Barrio ART on a regular basis to the community; ensure cultural art is taught and practiced in the Sacramento Region. ,"Barrio Art was founded in the 70s by the Rebel Chicano Art Front (RCAF) as ab effort to reduce barriers between the CSUS campus and the Alkali Flats community. The program brought young people and senior citizens together with aspiring teachers in the University's teacher training courses to learn to integrate the arts with education. Barrio Art includes several areas: the Children's Component (grades K-6); the Anciano Component (serving adults and the elderly); and the Cultural Component with the Danza Azteca. Although CSUS is no longer affiliated, the WNC continues to operate the program 40 years strong!  Barrio Art includes: Native Dance, Graffiti, fiber art, upcycled art, traditional cooking class, Dia De los Muertos, etc.  The Creative Economies would support a regular monthly Barrio Art Program. The funding would provide a stipend to artist who will lead a Barrio Art workshop monthly at the WNC. Each month there will be a themed art activity opened to the public-where the themes will range from cultural crafts and the medium would very from acrylic painting to sculpting. The artist would be community art teachers and or aspiring art teachers already taking courses at the community college or university level.  The funding would also provide the material for the workshops on a monthly basis. Workshops are meant to encompass all levels of creativity and encourage all age groups to work together. There could also be overlaying STEAM projects that would provide a more cultural lens to preserve the culture of our communities. The Barrio Art Workshops will also coincide with our quarterly Barrio Market where the art instructor will be provided a space to showcase their art work to a public audience. This would also give students an opportunity to display and or sell their creations. Additionally some of the funding would be utilize to market and advertise the Barrio Art workshops. This would encourage the public participate and knowledge of the program. Link to CSUS website for a historical contex: https://www.al.csus.edu/art/areas_barrio.php
Link to our webiste: http://www.thecentersacramento.org/about-us.html",10/1/17,9/30/18,"The project success will be noted by the 12 workshops held. Each artist will be provided a stipend, supplies and advertisement. Workshops will be geared toward 20-40 participants depending on the theme and date. Success will be documented at the Barrio Market where space is reserved for the guest teachers of the program during that previous quarter. ",The impact is great where we are providing a creative outlet for the community to participate in art workshops that some participants may not have had the opportunity. The workshops are free to the public. The impact is also great for the artists and potential art teachers. It will provide exposure and experience for their resumes. The show casing of work at the Barrio Market also adds to the quarterly pop up shops where additional audience would be able to support the local artist and makers.  ,The social impact is also great. Because the program is geared towards providing an artist and or art teach to the community it opens up the doors for the public and surrounding Downtown Sacramento community to participate. The themed Barrio Art workshops will have a cultural lenses.  The surrounding community has been designated as an undeserved community and we are already providing a space for cultural creation and preservation. In addressing cultural equity the themed workshops would meet these goals by ensuring teachers are based in the community and can provide a cultural aspect to the workshops. 

input-output-light-space-sound,70,Alex Trujillo,Microgrant ($5k),Individual/Sole Proprietor,Visao Media,"Input Output - Light, Space, Sound","Public Art/Installations, Performing Arts/Music, Urban Tech","$5,000.00 ","$5,000.00 ","Input Output is a digital media showcase fusing art and technology through light, space and sound. A platform for multidisciplinary artists.","Founded in spring 2015, Input Output is a 4-day digital media showcase fusing art and technology through light, space and sound. A platform for multidisciplinary artists to explore, implement and exhibit installations. Mediums such as VR, projection mapping, video, live audio/visual performances, experimental lighting and interactivity are exhibits examples to expect. Attendees can find themselves immersed in a sensory experience of their own.
We plan to have 10-20 exhibits with several live performing artist and presentations. In a medium to large sized exhibit hall, gallery, empty indoor industrial space.",5/17/18,5/20/18,"The projects success depends on the marketing strategy, planning, teamwork, curation, execution, budgetary goals, attendees and media coverage. We encourage social media posts, well document the event and hope to promote Sacramento as one of the fastest growing cities in TechArts cultivation. We have hopes of making this an annual show for years to come with help of grants, sponsorship and city support. ","With the growing number of events in Sacramento, this project will be the first of its kind that will host events to support the tech arts community. We plan to invite local and international artists to these shows drawing people to the Sacramento area to add to the economic growth and sustainability. Well put a call out for submissions 3 months in advance for proposed installations to be part of the event, which includes but not limited to; data scientists, programmers, designers, makers, musicians, artists, etc","We hope to bridge the gap of different cultural and socio economic backgrounds. An event like this will align many people through networking, collaboration and social gathering. The event will be open to all ages, with hopes to inspire kids of all ages to follow a path that propels them in a curriculum and education to promote economical sustainability of a better standard of living for all. "

dia-de-los-muertos-oak-park-2017-2,84,Seann Rooney,Microgrant ($5k),Nonprofit,Oak Park Business Association,Dia de los Muertos Oak Park 2017 (2 of 2),"Underserved Communities, Cultural Equity, Youth/Education, Performing Arts/Music, Public Art/Installations, Marketing/Communications","$5,000.00 ","$20,000.00 ","Dia de los Muertos Oak Park is quickly becoming one of the city's most important cultural events, engaging and educating thousands. ","In 2016 the Oak Park Business Association (OPBA) partnered with a very dedicated group of volunteers to organize a tremendously successful month-long event to celebrate the Mexican holiday of Dia de los Muertos (remembrance of deceased family and friends, and celebration of life for the living).

The series of events included lectures, workshops, cultural seminars, social events, parades and traditional celebrations.  On November 2nd the month long celebration culminates with a street festival on 36th Street in Oak Park, hosted by the Brickhouse Art Gallery.

In addition to the support of the OPBA, dozens of businesses in the community have contributed time and resources to make this event a success.  Portions of our grant request are dedicated to expand outreach to businesses in the district, fostering additional support and participation.

Historically it has been a challenge for the OPBA to sponsor community events.  Governed by a Management District Plan, approved by property owners in the district, a majority of our funds are appropriated to manage safety, security and maintenance programs, with few resources left over to support the dozens of events in the community.  The awarding of a Creative Economy Mini-Grant will increase the contribution to this incredible volunteer effort.  In partnership and collaboration, and with the additional funds, our team can expand our outreach and build the overall capacity.

With that in mind, an important component of this request is the outreach work to be facilitated by the updating of an event website and the expanded marketing effort through social media outlets.  With limited funds, the organizing committee has relied on volunteers to address this need.  The OPBA will work with the volunteer leaders to design tools that can be maintained and updated in the future by future organizers.  Further, as we have learned first hand, there is an ongoing need for video and photographic images to solicit additional support, share details, advertise the event, and most importantly, create a historical and cultural archive.

Thank you for considering our request.  These funds will make a significant impact on this endeavor and will allow us to expand our reach into the community.  Please note: additional information (event details, etc.) is included in the Dia de los Muertos (CBO) application for grant funding.",10/2/17,11/10/17,"One measurement of success will be the increased participation of businesses in Oak Park (and businesses from surrounding areas).  We will monitor this closely, and will actively engage dozens of businesses.  In addition, general attendance estimates for each event will provide measures of success.  We anticipate that attendance will increase significantly this year, with many thousands of participants expected.  Although many of the attendees will be familiar with the Broadway corridor and Oak Park, many will not.  This is a great opportunity to bring new community members into our neighborhood.","Although it is difficult to calculate the potential impact, simple estimates (from increased restaurant and retail sales) are in the tens to hundreds of thousands of dollars.  Because there are many events during the month, in particular functions being planned on traditionally ""slow"" days for sales, we expect increases throughout the entire month.   Events on non-peak days are very important to our merchants and establishments.  Further, we believe that many of the economic gains will be long term, with the introduction, or re-introduction, of patrons with many of the businesses, new and old, in the district.","Oak Park has a tradition of hosting community events celebrating many cultures and we are proud to call Oak Park home to this amazing cultural event.  Although traditionally a Latino holiday, Dia de los Meurtos will be celebrated by many community members, regardless of their ethnicity, race, religion or background.   Further, community members in adjacent neighborhoods (Franklin, etc). will attend to participate in the events.  Although not the only Latino cultural event in Sacramento, this is one of just a handful.  The organizing committee has reported that the Latino population in Oak Park is 36-38%.   "
