"???slug","id","grantee","organization","project","grant_amount"
"oak-park-roots-branches-walkabout-concert","341","Mindy Giles","Swell Productions","Oak Park ""Roots & Branches"" Walkabout & Concert","$8,000.00 "
"street-corner-cabaret","342","James Wheatley","Celebration Arts","Street Corner Cabaret","$24,460.00 "
"the-launchpad-a-placemaking-lab-in-old-north-sac","362","Tommy Young","E3 CA, Inc.","The LaunchPad: A PlaceMaking Lab in Old North Sac ","$25,000.00 "
"wellspring-women-s-center-mural","370","Ann Erpino","Ann Erpino Fine Art","Wellspring Women's Center Mural ","$5,000.00 "
"reflect","388","Andy Colborn","Rocket Dept","Reflect","$4,906.00 "
"diversecitysummit-videography","393","Mariah Lichtenstern","DiverseCity Ventures ","#DiverseCitySummit - Videography","$5,000.00 "
"arts-and-culture-events-at-the-red-museum","409","Jennifer Jackson","The Red Museum","Arts and Culture Events at The Red Museum","$5,000.00 "
"kawm-book-launch-event","410","Stacey Lo","Kawm","Kawm Book & Launch Event","$5,000.00 "
"oak-park-food-collective-micro-farms-big-impacts","425","Randy Stannard","Oak Park Sol","Oak Park Food Collective: Micro Farms, Big Impacts  ","$5,000.00 "
"kaleidoscope-1","437","Daniel","","Kaleidoscope (1 of 2)","$4,997.00 "
"the-cypher-finding-your-voice-thru-hip-hop","439","Michael Brim","The Cypher Hip Hop Workshops","The Cypher - Finding Your Voice Thru Hip Hop","$5,000.00 "
"kaleidoscope-2","442","Trent Dean","","Kaleidoscope (2 of 2)","$4,990.00 "
"orchard-park-living-art-project","452","Lia Villados and Fiona Nies","","Orchard Park Living Art Project","$4,942.88 "
